class,task,db,org,dts,name,prc,rcl,f01
Predictive,Gene Sets,Hallmarks,hg38,PBMC,CellOracle,0.6666666666666666,0.6,0.6659340659340659
Predictive,Gene Sets,Hallmarks,hg38,PBMC,CollecTRI,0.3617021276595745,0.85,0.3637711864406779
Predictive,Gene Sets,Hallmarks,hg38,PBMC,Dictys,0.64,0.8,0.6412698412698413
Predictive,Gene Sets,Hallmarks,hg38,PBMC,DoRothEA,0.4390243902439024,0.9,0.4412621359223301
Predictive,Gene Sets,Hallmarks,hg38,PBMC,GRaNIE,0.5,0.55,0.5004504504504504
Predictive,Gene Sets,Hallmarks,hg38,PBMC,LINGER,0.7391304347826086,0.85,0.7400862068965517
Predictive,Gene Sets,Hallmarks,hg38,PBMC,LINGER Baseline,0.4583333333333333,0.55,0.459090909090909
Predictive,Gene Sets,Hallmarks,hg38,PBMC,Pando,0.5,0.6,0.5008264462809917
Predictive,Gene Sets,Hallmarks,hg38,PBMC,Random,0.2857142857142857,0.2,0.2845070422535211
Predictive,Gene Sets,Hallmarks,hg38,PBMC,SCENIC,0.5333333333333333,0.8,0.5350993377483444
Predictive,Gene Sets,Hallmarks,hg38,PBMC,SCENIC+,0.5882352941176471,1.0,0.5906432748538012
Predictive,Omics,Gene ~ TFs,hg38,PBMC,CellOracle,0.7669902912621359,0.0289306640625,0.6123247723319349
Predictive,Omics,Gene ~ TFs,hg38,PBMC,CollecTRI,0.6132780082987552,0.04510498046875,0.5452719090616873
Predictive,Omics,Gene ~ TFs,hg38,PBMC,Dictys,0.7318706697459584,0.3868408203125,0.7254641969935991
Predictive,Omics,Gene ~ TFs,hg38,PBMC,DoRothEA,0.558693733451015,0.03863525390625,0.4929906542056075
Predictive,Omics,Gene ~ TFs,hg38,PBMC,GRaNIE,0.5071923281832712,0.05810546875,0.4711393347837165
Predictive,Omics,Gene ~ TFs,hg38,PBMC,LINGER,0.7041530564629025,0.09210205078125,0.6606830122591943
Predictive,Omics,Gene ~ TFs,hg38,PBMC,LINGER Baseline,0.7578347578347578,0.06494140625,0.6854270843963669
Predictive,Omics,Gene ~ TFs,hg38,PBMC,Pando,0.8115501519756839,0.01629638671875,0.5471755539323108
Predictive,Omics,Gene ~ TFs,hg38,PBMC,Random,0.3483320403413499,0.02740478515625,0.3121403595715977
Predictive,Omics,Gene ~ TFs,hg38,PBMC,SCENIC,0.6556411418214771,0.08831787109375,0.616435524961617
Predictive,Omics,Gene ~ TFs,hg38,PBMC,SCENIC+,0.8300503893724233,0.22119140625,0.8080285396393693
Predictive,Omics,CRE ~ TFs,hg38,PBMC,CellOracle,0.1926829268292683,0.002410888671875,0.1081634312981238
Predictive,Omics,CRE ~ TFs,hg38,PBMC,CollecTRI,0.0647058823529411,0.0013427734375,0.0441013020006351
Predictive,Omics,CRE ~ TFs,hg38,PBMC,Dictys,0.0704091816367265,0.0215301513671875,0.0688613293028002
Predictive,Omics,CRE ~ TFs,hg38,PBMC,DoRothEA,0.0328677074774034,0.0006103515625,0.0215770471490525
Predictive,Omics,CRE ~ TFs,hg38,PBMC,GRaNIE,0.0199155099577549,0.0005035400390625,0.0144138455949765
Predictive,Omics,CRE ~ TFs,hg38,PBMC,LINGER,0.0216543513957307,0.0032196044921875,0.0204926072373684
Predictive,Omics,CRE ~ TFs,hg38,PBMC,LINGER Baseline,,,
Predictive,Omics,CRE ~ TFs,hg38,PBMC,Pando,0.0469161834475487,0.0013580322265625,0.03521838612108
Predictive,Omics,CRE ~ TFs,hg38,PBMC,Random,0.0,0.0,0.0
Predictive,Omics,CRE ~ TFs,hg38,PBMC,SCENIC,0.1219621962196219,0.0041351318359375,0.0951253927211054
Predictive,Omics,CRE ~ TFs,hg38,PBMC,SCENIC+,0.0587444950362021,0.0120086669921875,0.05656487593543
Predictive,Omics,Gene ~ CREs,hg38,PBMC,CellOracle,0.046925566343042,0.00177001953125,0.0374629080118694
Predictive,Omics,Gene ~ CREs,hg38,PBMC,CollecTRI,0.0091286307053941,0.00067138671875,0.0081163612986178
Predictive,Omics,Gene ~ CREs,hg38,PBMC,Dictys,0.1095505617977528,0.05712890625,0.1085642363663089
Predictive,Omics,Gene ~ CREs,hg38,PBMC,DoRothEA,0.0077653149266609,0.00054931640625,0.0068715793293217
Predictive,Omics,Gene ~ CREs,hg38,PBMC,GRaNIE,0.0272108843537414,0.003173828125,0.0253127952034855
Predictive,Omics,Gene ~ CREs,hg38,PBMC,LINGER,0.2253649635036496,0.0301513671875,0.2117885764737843
Predictive,Omics,Gene ~ CREs,hg38,PBMC,LINGER Baseline,,,
Predictive,Omics,Gene ~ CREs,hg38,PBMC,Pando,0.3079268292682927,0.00616455078125,0.2074048471047495
Predictive,Omics,Gene ~ CREs,hg38,PBMC,Random,0.0053353658536585,0.00042724609375,0.0047904921942758
Predictive,Omics,Gene ~ CREs,hg38,PBMC,SCENIC,0.0051234280391243,0.00067138671875,0.0048077755275138
Predictive,Omics,Gene ~ CREs,hg38,PBMC,SCENIC+,0.1508690614136732,0.03973388671875,0.1468036366559198
Genomic,TF Binding,ReMap 2022,hg38,PBMC,CellOracle,0.2673093777388255,0.0003313899035818,0.0297786490807817
Genomic,TF Binding,ReMap 2022,hg38,PBMC,CollecTRI,0.3338132949364051,0.0015114932162098,0.1050806966735528
Genomic,TF Binding,ReMap 2022,hg38,PBMC,Dictys,0.2550893743793446,0.0089331319212754,0.2004118216469486
Genomic,TF Binding,ReMap 2022,hg38,PBMC,DoRothEA,0.418732782369146,0.0009909887394558,0.0809353892871672
Genomic,TF Binding,ReMap 2022,hg38,PBMC,GRaNIE,0.4588329336530775,0.0006236764531715,0.0554536854499836
Genomic,TF Binding,ReMap 2022,hg38,PBMC,LINGER,0.1417445026791204,0.0052609557964517,0.1127768006965787
Genomic,TF Binding,ReMap 2022,hg38,PBMC,LINGER Baseline,,,
Genomic,TF Binding,ReMap 2022,hg38,PBMC,Pando,0.2484725050916497,0.0005302163565226,0.0441340677072187
Genomic,TF Binding,ReMap 2022,hg38,PBMC,Random,0.072936660268714,4.128738409653425e-05,0.0039466188438196
Genomic,TF Binding,ReMap 2022,hg38,PBMC,SCENIC,0.2946461999251217,0.0008551299102059,0.0669404797596149
Genomic,TF Binding,ReMap 2022,hg38,PBMC,SCENIC+,0.2849745994529113,0.0063398778753041,0.1985686493291955
Genomic,TF Binding,ChIP-Atlas,hg38,PBMC,CellOracle,0.1935828877005347,0.0006232396063604,0.0476169390338561
Genomic,TF Binding,ChIP-Atlas,hg38,PBMC,CollecTRI,0.1592672058095395,0.0016614441651458,0.0821297357422138
Genomic,TF Binding,ChIP-Atlas,hg38,PBMC,Dictys,0.1941202956737083,0.0178129051028541,0.1767948650929755
Genomic,TF Binding,ChIP-Atlas,hg38,PBMC,DoRothEA,0.2114266164899076,0.0010640019558353,0.0714879639364765
Genomic,TF Binding,ChIP-Atlas,hg38,PBMC,GRaNIE,0.3118785975928833,0.0010261213302389,0.0779813661377745
Genomic,TF Binding,ChIP-Atlas,hg38,PBMC,LINGER,0.0619702392164249,0.0062305671382776,0.0569278087001105
Genomic,TF Binding,ChIP-Atlas,hg38,PBMC,LINGER Baseline,,,
Genomic,TF Binding,ChIP-Atlas,hg38,PBMC,Pando,0.1954934941288479,0.0010605494541441,0.0694428477192998
Genomic,TF Binding,ChIP-Atlas,hg38,PBMC,Random,0.0238379022646007,3.443342383584898e-05,0.0030388232232286
Genomic,TF Binding,ChIP-Atlas,hg38,PBMC,SCENIC,0.1611681990265008,0.0010261248635563,0.0633224843418968
Genomic,TF Binding,ChIP-Atlas,hg38,PBMC,SCENIC+,0.1825749692555103,0.0099687508070556,0.155856097161201
Genomic,TF Binding,UniBind,hg38,PBMC,CellOracle,0.2561085972850678,0.000463181187315,0.039616516884456
Genomic,TF Binding,UniBind,hg38,PBMC,CollecTRI,0.2614987080103359,0.0016568651848747,0.1024381835091882
Genomic,TF Binding,UniBind,hg38,PBMC,Dictys,0.3071180258733686,0.0176900515207568,0.2643033465422931
Genomic,TF Binding,UniBind,hg38,PBMC,DoRothEA,0.3085808580858086,0.0009183262562735,0.0714790322621339
Genomic,TF Binding,UniBind,hg38,PBMC,GRaNIE,0.4,0.0005662912668393,0.0501022949334258
Genomic,TF Binding,UniBind,hg38,PBMC,LINGER,0.1341981823512166,0.0059984012999266,0.1107604716682797
Genomic,TF Binding,UniBind,hg38,PBMC,LINGER Baseline,,,
Genomic,TF Binding,UniBind,hg38,PBMC,Pando,0.3537549407114624,0.0008788741246037,0.0711016781396129
Genomic,TF Binding,UniBind,hg38,PBMC,Random,0.0697674418604651,2.454827090162526e-05,0.0023951016613942
Genomic,TF Binding,UniBind,hg38,PBMC,SCENIC,0.2356080823484559,0.0010115841112546,0.0714800228578495
Genomic,TF Binding,UniBind,hg38,PBMC,SCENIC+,0.3404740652583556,0.011260685022272,0.2640435405729359
Genomic,CREs,ENCODE CREs,hg38,PBMC,CellOracle,0.995127892813642,0.0099315609690869,0.5020412136551413
Genomic,CREs,ENCODE CREs,hg38,PBMC,CollecTRI,0.9904306220095692,0.017743653796701,0.641985760847155
Genomic,CREs,ENCODE CREs,hg38,PBMC,Dictys,0.971714384270438,0.2789740252390923,0.9483972258836256
